sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 08, 2024 18:02:03

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +scan_row.row[0].column[3].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u3_my_bram_ip_red:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
   +u_efx_bram:efx_bram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +brams:dpram_wrapper_mwm_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[3].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u4_my_bram_ip_red:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
   +u_efx_bram:efx_bram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +brams:dpram_wrapper_mwm_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[3].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u1_my_bram_ip_green:my_bram_ip                           	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
   +u_efx_bram:efx_bram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +brams:dpram_wrapper_mwm_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
